Scene,entropy,si,ti,lap_var,lap_var_var,lap_p25,lap_p50,lap_p75,sharpness,thrash_hold
AoT1920x1080.mov_280,6.936084527777778,4.892713294521044,6.383912344735198,327.53499441905075,242377.7969979678,-2.1944444444444446,0.0,2.013888888888889,2,0
AoT1920x1080.mov_281,7.288065023809524,11.399254555781956,3.747600405551685,142.91836812055067,33068.47747067283,-1.6666666666666667,0.0,1.5952380952380953,1,0
AoT1920x1080.mov_282,7.319272247706422,17.92822763215851,2.197084537494572,153.65092075794212,34701.47846943656,-1.6605504587155964,0.0,1.5688073394495412,2,0
AoT1920x1080.mov_283,6.597059606481482,13.821972017900885,4.318707587411266,211.84285003481548,89511.95111423748,-1.7962962962962963,0.0,1.6527777777777777,2,0
AoT1920x1080.mov_284,6.966867841666667,16.76411679499158,7.954083717923023,264.13208262876196,109298.15698364923,-1.95,0.0,1.7916666666666667,2,0
AoT1920x1080.mov_285,7.197987525423729,13.548894344437533,11.517855583951532,330.23696761909173,184518.62086181034,-1.6440677966101696,0.0,1.423728813559322,2,0
AoT1920x1080.mov_286,6.8584844,15.262081872662904,3.291242271252114,302.451047079859,27171.600888605655,-1.6,0.0,1.6,-1,0
AoT1920x1080.mov_287,6.865699,15.127244783806718,3.3270468192334737,37.123421575293996,0.0,-1.0,0.0,1.0,-1,0
AoT1920x1080.mov_288,6.660271932038835,15.674587483907901,4.297952250613797,295.82150722468566,110667.3250532453,-1.7766990291262137,0.0,1.5728155339805825,1,0
AoT1920x1080.mov_289,6.710505953703704,12.303189426314923,9.236914211294831,200.6951119124419,96705.78447690146,-1.9166666666666667,0.0,1.7777777777777777,2,0
AoT1920x1080.mov_290,6.7619356250000004,20.510812994420846,9.52329317791253,224.70558605654378,114318.4705316489,-1.6458333333333333,0.0,1.5625,1,0
AoT1920x1080.mov_291,6.538303393939394,15.396838415240373,15.294689294593455,219.66851766695578,72977.79378634863,-1.7727272727272727,0.0,1.6363636363636365,0,0
AoT1920x1080.mov_292,6.573946838709677,7.416027119255428,8.346584882077586,212.32985876551174,79439.60596997227,-1.967741935483871,0.0,1.8279569892473118,0,-1
AoT1920x1080.mov_293,6.082547603448276,11.8320562833315,17.107035302084366,106.72377108999046,13116.927170418412,-1.4137931034482758,0.0,1.3275862068965518,-1,0
AoT1920x1080.mov_294,5.845138631578948,6.462262657195502,13.92747891184861,212.26301964940913,66669.59000838634,-1.6842105263157894,0.0,1.631578947368421,1,0
AoT1920x1080.mov_295,7.296186628571428,7.9688240431534725,18.747622118854053,224.2082047486476,137514.27246809084,-1.9285714285714286,0.0,1.8,2,-1
AoT1920x1080.mov_296,7.137148703703704,23.14194312606604,5.238522789590953,426.8650279521627,308088.6042288476,-2.3333333333333335,0.0,2.1481481481481484,0,0
AoT1920x1080.mov_297,7.339262082352941,20.74187536866771,6.015333326145027,246.22511206455914,97887.43367902633,-1.8941176470588235,0.0,1.6705882352941177,0,0
AoT1920x1080.mov_298,7.25355815,19.520667266380677,7.725515265532407,124.05587205152166,21110.640986757786,-1.7666666666666666,0.0,1.6333333333333333,3,0
AoT1920x1080.mov_299,6.787934202380953,14.304929695197048,10.06268550782867,284.1644754211361,158192.53607624042,-1.7619047619047619,0.0,1.6904761904761905,2,0
